id,type,taxi_time,gate (block) hour,runway hour,rwy_day,distance,angle,angle error,shortest path,distance_gate,distance_long,distance_else,rwy,rwy_num,operation_mode,other_moving_ac,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr
10-Jan-2021_DLH8RJ,arrival,2.8,10,10,10,1613.1243054624097,408.7433985127596,0,1282.4082529881293,0,0,1613.1243054624097,23R/05L,1,0,1,0,0,0,0,0,0,0,1
11-Jan-2021_DLH8RJ,arrival,3.4,11,11,11,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,4,0,0,0,0,0,0,2,1
13-Jan-2021_DLH8RJ,arrival,4.083333333333333,11,11,13,1750.1081837331876,570.6540247750117,0,1149.9808674801495,104.571349969,0,1645.5368337641876,23R/05L,1,0,3,0,0,0,0,0,0,0,2
15-Jan-2021_DLH8RJ,arrival,4.8,11,11,15,1524.9040269407826,441.84567476783826,0,1283.574914102575,104.571349969,608.7054608738868,811.6272160978958,23R/05L,1,0,1,0,0,0,0,0,0,0,1
16-Jan-2021_DLH8RJ,arrival,4.733333333333333,11,11,16,2203.3774340907817,657.0036888256802,0,1786.8569000446014,107.541906653,0,2095.835527437782,23R/05L,1,0,4,0,0,0,1,0,0,2,2
17-Jan-2021_DLH8RJ,arrival,4.383333333333334,11,11,17,2203.3774340907817,657.0036888256802,0,1786.8569000446014,107.541906653,0,2095.835527437782,23R/05L,1,0,2,0,0,0,0,0,0,0,1
18-Jan-2021_DLH8RJ,arrival,4.583333333333333,11,11,18,1774.4004799567876,567.9158004331346,0,1149.9808674801495,104.571349969,0,1669.8291299877876,23R/05L,1,0,5,0,0,0,1,0,0,1,3
20-Jan-2021_DLH8RJ,arrival,3.683333333333333,11,11,20,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,4,0,0,1,0,0,0,1,3
22-Jan-2021_DLH8RJ,arrival,4.033333333333333,11,11,22,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,5,0,0,1,1,0,0,1,4
23-Jan-2021_DLH8RJ,arrival,16.166666666666668,11,11,23,2938.5955595881182,692.6364022067474,0,2779.3660197174936,104.792093998,976.1372489276913,1857.666216662427,23R/05L,1,0,16,0,0,0,5,0,0,5,8
24-Jan-2021_DLH8RJ,arrival,4.1,11,11,24,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,2,0,0,0,0,0,0,0,2
25-Jan-2021_DLH8RJ,arrival,4.233333333333333,11,11,25,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,5,0,0,0,0,0,0,0,4
27-Jan-2021_DLH8RJ,arrival,3.066666666666667,11,11,27,1562.107749330905,498.5673319398467,0,1149.9808674801495,104.571349969,0,1457.536399361905,23R/05L,1,0,2,0,0,0,0,0,0,1,1
